"PathName","N_Genes","DeltaFold","BestPvalue","Fold_Rv0827c_DMSO_noDrug","Pvalue_Rv0827c_DMSO_noDrug","Fold_Rv0827c_DMSO_RIF","Pvalue_Rv0827c_DMSO_RIF"
"TFOE Regulon of Rv3855 (ethR)",3,0.08103,"1.00e+00",0.01777,"1.00e+00",-0.06326,"1.00e+00"
"TFOE Regulon of Rv0042c",3,0.08054,"1.00e+00",0.05232,"1.00e+00",-0.02822,"1.00e+00"
"TFOE Regulon of Rv0019c (fhaB)",13,0.07876,"1.00e+00",0.01753,"1.00e+00",-0.06123,"1.00e+00"
"TFOE Regulon of Rv1963c (mce3R)",14,0.06711,"1.40e-02",0.04171,"1.40e-02",-0.02541,"1.00e+00"
"TFOE Regulon of Rv0275c",5,0.07778,"1.00e+00",0.03971,"1.00e+00",-0.03807,"1.00e+00"
"TFOE Regulon of Rv3849 (espR)",244,0.06354,"6.90e-10",0.02601,"1.99e-05",-0.03753,"6.90e-10"
"TFOE Regulon of Rv0238",276,0.06291,"2.25e-13",0.02686,"6.31e-09",-0.03604,"2.25e-13"
"TFOE Regulon of Rv2282c",23,0.06972,"3.72e-01",0.02647,"1.00e+00",-0.04325,"3.72e-01"
"TFOE Regulon of Rv0576",235,0.06195,"1.43e-13",0.02488,"6.25e-07",-0.03707,"1.43e-13"
"TFOE Regulon of Rv3676 (crp)",86,0.06231,"1.86e-05",0.02614,"4.37e-02",-0.03616,"1.86e-05"
"TFOE Regulon of Rv0445c (sigK)",34,0.06862,"3.47e-01",0.01194,"1.00e+00",-0.05668,"3.47e-01"
"TFOE Regulon of Rv0903c (prrA)",3,0.07176,"1.00e+00",0.02024,"1.00e+00",-0.05153,"1.00e+00"
"TFOE Regulon of Rv1379 (pyrR)",5,0.07154,"1.00e+00",0.04013,"1.00e+00",-0.03142,"1.00e+00"
"TFOE Regulon of Rv0324",239,0.06177,"6.42e-13",0.02344,"7.46e-04",-0.03833,"6.42e-13"
"TFOE Regulon of Rv2250c",95,0.06186,"9.13e-04",0.02416,"5.19e-01",-0.03769,"9.13e-04"
"TFOE Regulon of Rv0182c (sigG)",20,0.06494,"4.07e-01",0.01995,"1.00e+00",-0.04499,"4.07e-01"
"TFOE Regulon of Rv0744c",13,0.06641,"5.60e-01",0.02474,"1.00e+00",-0.04168,"5.60e-01"
"TFOE Regulon of Rv0823c",5,0.07062,"1.00e+00",-0.04059,"1.00e+00",0.03003,"1.00e+00"
